Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-31 14:03:06.006 +0100,"Failure",0:00:00,1,0,1,"20160531_140306.006/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: i",0
2016-05-31 14:03:35.035 +0100,"Failure",0:00:00,1,0,1,"20160531_140335.035/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: i",0
2016-05-31 14:04:00.000 +0100,"Success",0:00:00,0,0,0,"20160531_140400.000/LogFile.txt","","",1
2016-05-31 14:10:58.058 +0100,"Failure",0:00:00,1,0,1,"20160531_141058.058/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: 315",0
2016-05-31 14:11:09.009 +0100,"Failure",0:00:00,1,0,1,"20160531_141109.009/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: 315",0
2016-05-31 14:12:06.006 +0100,"Success",0:00:00,0,0,0,"20160531_141206.006/LogFile.txt","","",1
2016-05-31 14:12:26.026 +0100,"Success",0:00:00,0,0,0,"20160531_141226.026/LogFile.txt","","",1
2016-05-31 14:12:35.035 +0100,"Success",0:00:00,0,0,0,"20160531_141235.035/LogFile.txt","","",1
2016-05-31 14:12:55.055 +0100,"Success",0:00:00,0,0,0,"20160531_141255.055/LogFile.txt","","",1
2016-05-31 14:13:01.001 +0100,"Success",0:00:00,0,0,0,"20160531_141301.001/LogFile.txt","","",1
2016-05-31 14:13:04.004 +0100,"Success",0:00:00,0,0,0,"20160531_141304.004/LogFile.txt","","",1
2016-05-31 14:20:33.033 +0100,"Failure",0:00:00,1,0,1,"20160531_142033.033/LogFile.txt","","File Not Found -- everyimagelocation Error - Could Not Open Image: Empty_checkbox",0
2016-05-31 14:21:15.015 +0100,"Success",0:00:00,0,0,0,"20160531_142115.015/LogFile.txt","","",1
